City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,saldanha,-33.0117,17.9442,16.03,94,0,3.67,ZA,1714503913
198,argenton-sur-creuse,46.59,1.5198,14.19,87,100,3.42,FR,1714503913
199,kenora,49.8167,-94.4337,6.54,61,75,1.54,CA,1714503913
200,nabire,-3.3667,135.4833,24.96,94,100,1.1,ID,1714503913
201,acajutla,13.5928,-89.8275,30.74,65,20,5.46,SV,1714503913
202,tazacorte,28.629,-17.9293,19.54,67,20,5.14,ES,1714503913
203,ribeira grande,38.5167,-28.7,19.22,68,20,3.6,PT,1714503914
204,queenstown,-31.8976,26.8753,20.52,36,100,4.02,ZA,1714503699
205,estevan,49.1334,-102.9842,7.19,93,100,5.14,CA,1714503914
206,fada,9.5667,8.3,28.49,57,100,2.33,NG,1714503914
207,haimen,23.1935,116.6142,20.94,94,100,1.83,CN,1714503914
208,uturoa,-16.7333,-151.4333,27.14,76,100,9.27,PF,1714503914
209,kruisfontein,-34.0033,24.7314,14.94,83,61,2.27,ZA,1714503914
210,east london,-33.0153,27.9116,19.52,82,40,3.6,ZA,1714503915
211,westport,41.1415,-73.3579,18.94,82,100,8.75,US,1714503915
212,sydney,-33.8679,151.2073,14.69,93,100,8.23,AU,1714503455
213,bima,-8.4667,118.7167,24.29,97,52,1.37,ID,1714503915
214,mboursou lere,9.7639,14.1539,36.39,22,91,1.3,TD,1714503915
215,natchez,31.5604,-91.4032,27.36,61,75,0.0,US,1714503915
216,vadso,70.0744,29.7487,2.49,87,75,1.54,NO,1714503916
217,sheridan,44.8333,-106.9173,12.23,33,0,7.72,US,1714503916
218,touros,-5.1989,-35.4608,27.54,82,99,2.4,BR,1714503916
219,urangan,-25.3,152.9,20.19,81,2,5.11,AU,1714503916
220,ad dabbah,18.05,30.95,31.51,10,0,4.9,SD,1714503916
221,pacific grove,36.6177,-121.9166,19.56,71,0,6.71,US,1714503719
222,arraial do cabo,-22.9661,-42.0278,29.98,62,0,6.69,BR,1714503916
223,colonia,50.9333,6.95,21.64,60,0,2.06,DE,1714503917
224,san patricio,28.017,-97.5169,30.86,63,64,6.34,US,1714503917
225,buala,-8.145,159.5921,27.74,81,100,1.36,SB,1714503917
226,camamu,-13.9447,-39.1039,27.33,79,99,3.61,BR,1714503917
227,songjianghe,42.1859,127.479,1.89,73,5,2.38,CN,1714503917
228,marti,22.9475,-80.9203,31.32,45,32,5.54,CU,1714503918
229,sandnessjoen,66.0217,12.6316,12.06,50,0,1.54,NO,1714503918
230,kangding,30.0513,101.9603,6.89,99,100,1.27,CN,1714503918
231,takestan,36.0696,49.6959,15.36,65,100,4.29,IR,1714503918
232,centerton,36.3598,-94.2852,29.05,48,0,7.2,US,1714503918
233,georgetown,5.4112,100.3354,29.41,85,40,1.54,MY,1714503670
234,bengkulu,-3.8004,102.2655,25.94,92,100,1.53,ID,1714503918
235,al bayda',32.7627,21.7551,16.96,41,14,4.83,LY,1714503919
236,ambodifotatra,-16.9833,49.85,26.15,83,100,3.75,MG,1714503919
237,avarua,-21.2078,-159.775,27.03,69,75,8.23,CK,1714503919
238,mount gambier,-37.8333,140.7667,10.5,84,2,3.36,AU,1714503919
239,vasylivka,47.4369,35.2742,13.57,51,0,4.64,UA,1714503920
240,puerto colombia,10.9878,-74.9547,34.05,73,21,7.07,CO,1714503920
241,kisangani,0.5167,25.2,25.42,78,62,0.7,CD,1714503920
242,quellon,-43.1167,-73.6167,10.0,53,66,3.71,CL,1714503920
243,neya,58.2972,43.8681,9.83,76,2,5.92,RU,1714503920
244,mahajanga,-15.7167,46.3167,28.01,69,40,2.06,MG,1714503920
245,farasan,16.7022,42.1183,30.06,79,0,2.67,SA,1714503921
246,igarka,67.4667,86.5833,-18.32,98,100,4.02,RU,1714503921
247,oraiokastro,40.7615,22.9072,17.54,69,79,3.58,GR,1714503921
248,san fernando de monte cristi,19.8667,-71.65,27.51,70,97,10.31,DO,1714503921
249,moyynkum,44.2914,72.9469,15.92,26,6,4.76,KZ,1714503921
250,sisimiut,66.9395,-53.6735,-2.62,71,19,2.36,GL,1714503922
251,khanpur mahar,27.8436,69.4137,25.29,9,0,3.66,PK,1714503922
252,lihue,21.9789,-159.3672,26.58,75,40,4.12,US,1714503922
253,antofagasta,-23.65,-70.4,18.6,76,16,4.51,CL,1714503922
254,enewetak,11.3474,162.3373,27.38,76,38,8.27,MH,1714503922
255,galdar,28.147,-15.6502,20.28,65,41,6.86,ES,1714503922
256,carbonear,47.7332,-53.2148,7.0,99,100,9.8,CA,1714503923
257,north haven,41.3909,-72.8595,19.42,78,100,8.23,US,1714503923
258,miyazu,35.5333,135.1833,12.22,94,94,2.33,JP,1714503923
259,boca suno,-0.7167,-77.1333,29.77,72,85,1.18,EC,1714503923
260,zheshart,62.0731,49.5733,2.13,87,100,3.59,RU,1714503923
261,lae,-6.7221,146.9847,22.88,92,100,1.67,PG,1714503923
262,selfoss,63.9331,-20.9971,8.91,46,5,3.93,IS,1714503923
263,saint-philippe,-21.3585,55.7679,22.28,82,100,5.4,RE,1714503924
264,susuman,62.7833,148.1667,-6.68,89,100,2.24,RU,1714503924
265,mermoz boabab,14.7065,-17.4758,32.31,57,54,6.17,SN,1714503924
266,kegen,43.0197,79.2203,5.07,54,75,1.28,KZ,1714503924
267,carnarvon,-24.8667,113.6333,25.04,65,60,5.58,AU,1714503924
268,undurkhaan,47.3194,110.6556,9.71,26,17,5.15,MN,1714503924
269,bikenibeu village,1.3673,173.1241,28.98,84,40,5.66,KI,1714503925
270,kourou,5.1552,-52.6478,30.03,69,41,4.18,GF,1714503925
271,makoua,0.0069,15.6333,23.83,89,99,1.07,CG,1714503925
272,stephenville,32.2207,-98.2023,29.96,63,40,5.66,US,1714503925
273,yunyang,33.4474,112.7142,10.56,73,3,1.67,CN,1714503925
274,churapcha,62.0025,132.4325,-3.38,81,5,2.26,RU,1714503925
275,ciudad acuna,29.3232,-100.9522,31.16,57,75,7.2,MX,1714503926
276,port alfred,-33.5906,26.891,16.21,81,80,1.34,ZA,1714503926
277,kalmunai,7.4167,81.8167,27.71,86,93,4.17,LK,1714503926
278,kazanskoye,55.6448,69.235,2.58,51,4,3.0,RU,1714503926
279,northam,51.0333,-4.2167,10.37,93,100,4.9,GB,1714503926
280,dudinka,69.4058,86.1778,-18.02,98,100,3.37,RU,1714503926
281,weno,7.4515,151.8468,27.97,89,100,3.6,FM,1714503926
282,villa gesell,-37.2639,-56.973,16.7,80,100,6.62,AR,1714503927
283,banda aceh,5.5577,95.3222,28.01,80,73,3.8,ID,1714503927
284,ulsteinvik,62.3432,5.8487,16.5,75,84,1.37,NO,1714503927
285,christchurch,-43.5333,172.6333,12.52,89,75,4.12,NZ,1714503068
286,gebeit,21.0667,36.3167,25.14,56,0,1.63,SD,1714503927
287,chui,-33.6971,-53.4616,22.01,90,85,1.8,UY,1714503927
288,anloga,5.7947,0.8973,29.35,83,100,6.52,GH,1714503928
289,palu,-0.8917,119.8707,24.69,97,100,1.64,ID,1714503928
290,muang xay,20.7,101.9833,24.05,42,5,0.88,LA,1714503928
291,taltal,-25.4,-70.4833,20.4,65,25,2.92,CL,1714503664
292,lagoa,39.05,-27.9833,16.36,70,98,1.71,PT,1714503928
293,yaren,-0.5472,166.916,28.3,78,100,3.92,NR,1714503928
294,qarauyl,48.9451,79.255,13.15,75,100,5.97,KZ,1714503929
295,alghero,40.5589,8.3181,18.05,77,0,1.03,IT,1714503929
296,linxi,39.7,118.4333,12.87,29,0,3.68,CN,1714503929
297,nemuro,43.3236,145.575,4.49,89,100,8.29,JP,1714503929
298,campbell river,50.0163,-125.2446,11.92,66,40,1.54,CA,1714503929
299,callao,-12.0667,-77.15,23.16,68,0,5.14,PE,1714503929
300,machico,32.7,-16.7667,19.84,78,40,6.69,PT,1714503930
301,niamey,13.5137,2.1098,43.16,7,42,3.09,NE,1714503930
302,boende,-0.2167,20.8667,24.12,87,100,0.88,CD,1714503930
303,ichenhausen,48.3712,10.3071,21.27,79,15,2.29,DE,1714503930
304,laguna de perlas,12.3429,-83.6712,30.05,67,7,3.34,NI,1714503930
305,labrador city,52.9463,-66.9114,0.1,56,75,8.75,CA,1714503931
306,ubinskoye,55.3068,79.6802,-0.16,59,93,2.52,RU,1714503931
307,dudestii vechi,46.05,20.4833,16.65,53,2,5.87,RO,1714503931
308,wotho,10.1657,166.0102,27.53,80,100,8.31,MH,1714503931
